dataset_class_id;dataset_class_name;dataset_color_code;dataset_label_id;individual_class_id;universal_class_id;universal_class_name;individual_to_dataset;universal_to_dataset;universal_to_dataset_class_name;note
0;Ignore;0,0,0;0;0;0;ignore;;;;
1;wall;120,120,120;1;1;29;wall;1;29;wall;
2;building-edifice;180,120,120;2;2;27;building;2;27;Building;
3;sky;6,230,230;3;3;36;sky;3;36;sky;
4;floor-flooring;80,50,50;4;4;62;Floor;4;62;Floor;
5;tree;4,200,3;5;5;183;Tree;5;183;Tree;
6;ceiling;120,120,80;6;6;63;Ceiling;6;63;Ceiling;
7;road-route;140,140,140;7;7;13;Road;7;13,15,16,18,19,20,22,23,44,47,53,180;Parking-bikelane-servicelane-marking-zebra-railtrack-crosswalkplain;
8;bed;204,5,255;8;8;64;Bed;8;64;Bed;
9;windowpane-window;230,230,230;9;9;65;window;9;65;window;
10;grass;4,250,7;10;10;35;terrain;10;35;terrain;TBD
11;cabinet;224,5,255;11;11;66;Cabinet;11;66;Cabinet;
12;sidewalk-pavement;235,255,7;12;12;14;Sidewalk;12;14,21,190;Sidewalk,curb,curbcut;
13;person-;150,5,61;13;13;56;Person;13;56;Person;
14;earth-ground;120,120,70;14;14;187;ground;14;187;ground;
15;door-double-door;8,255,51;15;15;67;Door;15;67;Door;
16;table;255,6,82;16;16;68;table;16;68;table;
17;mountain-mount;143,255,140;17;17;37;mountain;17;37;mountain;
18;plant-flora-plant-life;204,255,4;18;18;177;Plant;18;177;Plant;TBD
19;curtain-drape-drapery-;255,51,7;19;19;69;Curtain;19;69,178;Curtain,shower_curtain;
20;chair;204,70,3;20;20;70;chair;20;70;chair;
21;car-auto-automobile-machine-;0,102,200;21;21;1;Car;21;1,181;Car,pickup_truck;
22;water;61,230,250;22;22;25;Water;22;25;Water;
23;painting-picture;255,6,51;23;23;71;Picture;23;71;Picture;
24;sofa-couch-lounge;11,102,255;24;24;72;sofa;24;72;sofa;
25;shelf;255,7,71;25;25;73;Shelf;25;73;Shelf;
26;house;255,9,224;26;26;74;House;26;74;House;
27;sea;9,7,230;27;27;75;sea;27;75;sea;
28;mirror;220,220,220;28;28;76;Mirror;28;76;Mirror;
29;rug-carpet-carpeting;255,9,92;29;29;77;Rug;29;77;Rug;
30;field;112,9,255;30;30;78;Field;30;78;Field;
31;armchair;8,255,214;31;31;79;armchair;31;79;armchair;
32;seat;7,255,224;32;32;80;Seat;32;80;Seat;
33;fence-fencing;255,184,6;33;33;28;fence;33;28;fence;
34;desk;10,255,71;34;34;81;Desk;34;81;Desk;
35;rock-stone;255,41,10;35;35;82;Rock;35;82;Rock;
36;wardrobe-closet-press;7,255,255;36;36;83;Wardrobe;36;83;Wardrobe;
37;lamp;224,255,8;37;37;84;Lamp;37;84;Lamp;
38;bathtub-;102,8,255;38;38;85;Bathtub;38;85;Bathtub;
39;railing-rail;255,61,6;39;39;5;Train;39;5;Train;
40;cushion;255,194,7;40;40;86;Cushion;40;86;Cushion;
41;base-pedestal-stand;255,122,8;41;41;87;Base;41;87;Base;
42;box;0,255,20;42;42;88;Box;42;88;Box;
43;column-pillar;255,8,41;43;43;89;Pillar;43;89;Pillar;
44;signboard-sign;255,5,153;44;44;40;Traffic-sign;44;40;Traffic-sign;Tbd
45;chest-of-drawers-;6,51,255;45;45;90;Drawers;45;90;Drawers;
46;counter;235,12,255;46;46;91;Counter;46;91;Counter;
47;sand;160,150,20;47;47;26;Sand;47;26;Sand;Tbd
48;sink;0,163,255;48;48;92;Sink;48;92;Sink;
49;skyscraper;140,140,140;49;49;93;Skyscraper;49;93;Skyscraper;
50;fireplace-hearth-open;250,10,15;50;50;94;Fireplace;50;94;Fireplace;
51;refrigerator-icebox;20,255,0;51;51;95;Refrigerator;51;95;Refrigerator;
52;grandstand-covered-stand;31,255,0;52;52;96;Grandstand;52;96;Grandstand;
53;path;255,31,0;53;53;97;Path;53;97;Path;
54;stairs-steps;255,224,0;54;54;98;Stairs;54;98;Stairs;
55;runway;153,255,0;55;55;99;runway;55;99;runway;
56;case-display-cas;0,0,255;56;56;100;Case;56;100;Case;
57;pool-table-billiard-;255,71,0;57;57;101;billiard;57;101;billiard;
58;pillow;0,235,255;58;58;102;pillow;58;102;pillow;
59;screen-door-screen;0,173,255;59;59;103;screen;59;103;screen;
60;stairway-staircase;31,0,255;60;60;104;stairway;60;104;stairway;
61;river;11,200,200;61;61;105;river;61;105;river;
62;bridge-span;255,82,0;62;62;30;Bridge;62;30;Bridge;tbd
63;bookcase;0,255,245;63;63;106;bookcase;63;106;bookcase;
64;blind-screen;0,61,255;64;64;107;blind;64;107;blind;
65;coffee-table-cocktail-table;0,255,112;65;65;108;coffee;65;108;coffee;
66;toilet-can-;0,255,133;66;66;109;toilet;66;109;toilet;
67;flower;255,0,0;67;67;110;flower;67;110;flower;
68;book;255,163,0;68;68;111;book;68;111;book;
69;hill;255,102,0;69;69;112;hill;69;112;hill;
70;bench;194,255,0;70;70;51;Bench;70;51;Bench;tbd
71;countertop;0,143,255;71;71;113;countertop;71;113;countertop;
72;stove-kitchen-;51,255,0;72;72;114;stove;72;114;stove;
73;palm-palm-tree;0,82,255;73;73;115;Palm-tree;73;115;Palm-tree;
74;kitchen-island;0,255,41;74;74;116;kitchen;74;116;kitchen;
75;computer-;0,255,173;75;75;117;computer;75;117;computer;
76;swivel-chair;10,0,255;76;76;118;swivel-chair;76;118;swivel-chair;
77;boat;173,255,0;77;77;11;boat;77;11;boat;tbd
78;bar;0,255,153;78;78;119;bar;78;119;bar;
79;arcade-machine;255,92,0;79;79;120;arcade-machine;79;120;arcade-machine;
80;hovel-hut-hutch-shack-shanty;255,0,255;80;80;121;hut;80;121;hut;
81;bus-;255,0,245;81;81;3;bus;81;3;bus;tbd
82;towel;255,0,102;82;82;122;towel;82;122;towel;
83;light-light-source;255,173,0;83;83;123;Light-source;83;123;Light-source;
84;truck-motortruck;255,0,20;84;84;4;truck;84;4;truck;
85;tower;255,184,184;85;85;124;tower;85;124;tower;
86;chandelier-pendant-pendent;0,31,255;86;86;125;chandelier;86;125;chandelier;
87;awning-sunshade-sunblind;0,255,61;87;87;126;sunshade;87;126;sunshade;
88;streetlight-street-lamp;0,71,255;88;88;42;Street light;88;42;Street light;
89;booth-cubicle-stall-kiosk;255,0,204;89;89;54;booth;89;54;booth;
90;television-;0,255,194;90;90;127;television;90;127;television;
91;airplane-aeroplane-plane;0,255,82;91;91;186;plane;91;186;plane;
92;dirt-track;0,10,255;92;92;128;track;92;128;track;
93;apparel-wearing-;0,112,255;93;93;129;apparel;93;129;apparel;
94;pole;51,0,255;94;94;38;pole;94;38;pole;
95;land-ground-soil;0,194,255;95;95;188;land-ground-soil;95;188;land-ground-soil;
96;bannister-;0,122,255;96;96;130;bannister;96;130;bannister;
97;escalator-;0,255,163;97;97;176;escalator;97;176;escalator;
98;ottoman-pouf-pouffe-puff-hassock;255,153,0;98;98;131;ottoman;98;131;ottoman;
99;bottle;0,255,10;99;99;132;bottle;99;132;bottle;
100;buffet-counter-sideboard;255,112,0;100;100;133;buffet;100;133;buffet;
101;poster-;143,255,0;101;101;134;poster;101;134;poster;
102;stage;82,0,255;102;102;135;stage;102;135;stage;
103;van;163,255,0;103;103;182;Van;103;182;Van;TBD
104;ship;255,235,0;104;104;11;boat;104;11;boat;
105;fountain;8,184,170;105;105;136;fountain;105;136;fountain;
106;conveyer-;133,0,255;106;106;137;conveyerbelt;106;137;conveyerbelt;
107;canopy;0,255,92;107;107;138;canopy;107;138;canopy;
108;washer-;184,0,255;108;108;139;washer;108;139;washer;
109;plaything-toy;255,0,31;109;109;140;toy;109;140;toy;
110;swimming-pool-swimming;0,184,255;110;110;141;pool;110;141;pool;
111;stool;0,214,255;111;111;142;stool;111;142;stool;
112;barrel-cask;255,0,112;112;112;143;barrel;112;143;barrel;
113;basket-handbasket;92,255,0;113;113;144;basket;113;144;basket;
114;waterfall-falls;0,224,255;114;114;145;waterfall;114;145;waterfall;
115;tent-collapsible-shelter;112,224,255;115;115;146;tent;115;146;tent;
116;bag;70,184,160;116;116;147;bag;116;147;bag;
117;minibike-motorbike;163,0,255;117;117;12;other-vehicles;117;12;other-vehicles;
118;cradle;153,0,255;118;118;148;cradle;118;148;cradle;
119;oven;71,255,0;119;119;149;oven;119;149;oven;
120;ball;255,0,163;120;120;150;ball;120;150;ball;
121;food-solid-food;255,204,0;121;121;151;food;121;151;food;
122;step-stair;255,0,143;122;122;152;step-stair;122;152;step-stair;
123;tank-storage-tank;0,255,235;123;123;153;tank;123;153;tank;
124;trade-name-brand-;133,255,0;124;124;154;trade-brand;124;154;trade-brand;
125;microwave-microwave-oven;255,0,235;125;125;155;microwave;125;155;microwave;
126;pot-flowerpot;245,0,255;126;126;156;pot;126;156;pot;
127;animal-animate-;255,0,122;127;127;60;animal;127;60;animal;
128;bicycle-bike-wheel-cycle;255,245,0;128;128;2;bicycle;128;2;bicycle;
129;lake;10,190,212;129;129;157;lake;129;157;lake;
130;dishwasher-;214,255,0;130;130;158;dishwasher;130;158;dishwasher;
131;screen-silver-;0,204,255;131;131;159;screen-projector;131;159;screen-projector;
132;blanket-cover;20,0,255;132;132;160;blanket-cover;132;160;blanket-cover;
133;sculpture;255,255,0;133;133;161;sculpture;133;161;sculpture;
134;hood-exhaust-hood;0,153,255;134;134;162;hand-exhaust;134;162;hand-exhaust;
135;sconce;0,41,255;135;135;163;sconce;135;163;sconce;
136;vase;0,255,204;136;136;164;vase;136;164;vase;
137;traffic-light-traffic-signal-stoplight;41,0,255;137;137;41;traffic-light;137;41;traffic-light;
138;tray;41,255,0;138;138;165;tray;138;165;tray;
139;ashcan-trash-can;173,0,255;139;139;46;trashcan;139;46;trashcan;
140;fan;0,245,255;140;140;166;fan;140;166;fan;
141;pier-wharf-wharfage-dock;71,0,255;141;141;167;Pier-dock;141;167;Pier-dock;
142;crt-screen;122,0,255;142;142;168;Crt screen;142;168;Crt screen;
143;plate;0,255,184;143;143;169;plate;143;169;plate;
144;monitor-monitoring-device;0,92,255;144;144;170;monitor;144;170;monitor;
145;bulletin-board-notice-board;184,255,0;145;145;43;Billboard;145;43;Billboard;
146;shower;0,133,255;146;146;171;shower;146;171;shower;
147;radiator;255,214,0;147;147;172;radiator;147;172;radiator;
148;glass-drinking-glass;25,194,194;148;148;173;glass;148;173;glass;
149;clock;102,255,0;149;149;174;clock;149;174;clock;
150;flag;92,0,255;150;150;175;flag;150;175;flag;
