dataset_class_id;dataset_class_name;dataset_color_code;dataset_label_id;universal_class_id;universal_class_name;universal_to_dataset;universal_to_dataset_class_name;note
0;unlabeled;0,0,0;0;0;ignore;0;ignore;
1; Ego vehicle;0,0,0;1;9;Ego vehicle;;;
2;Rectification border;0,0,0;2;0;ignore;;;TBD
3;Out of roi;0,0,0;3;0;ignore;;;TBD
4;static;0,0,0;4;0;static;;;
5;dynamic;111,74,0;5;0;Dynamic;;;
6;ground;81,0,81;6;0;ground;;;
7;road;128,64,128;7;13;road;13,18,19,20,22,23,44,47,53,99,180,17;Road,crosswalk_plain,bike_lane,service_lane,general_marking,zebra,manhole,catchbasin,pothole,runway,pedestrian_area;
8;sidewalk;244,35,232;8;14;sidewalk;14,21;Sidewalk,curb_curbcut;
9;parking;250,170,160;9;15;parking;;;
10;Rail track;230,150,140;10;16;rail-track;;;
11;Building;70,70,70;11;27;building;27,152,89,65,74,67,98,96,93;Building,step_stair,column,window,house,door,stairs,skyscrapper;
12;wall;102,102,156;12;29;wall;29;wall;
13;Fence;190,153,153;13;28;Fence;28;fence;
14;Guard rail;180,165,180;14;32;Guard rail;;;
15;bridge;150,100,100;15;30;Bridge;;;
16;Tunnel;150,120,90;16;31;Tunnel;;;
17;pole;153,153,153;17;38;pole;38;pole;
18;Pole group;153,153,153;18;39;Utility pole;;;
19;Traffic light;250,170,30;19;41;Traffic light;41;Traffic light;
20;Traffic sign;220,220,0;20;40;Traffic sign;40;Traffic sign;
21;Vegetation;107,142,35;21;34;Vegetation;34,115,177,183;Vegetation,palm-tree,plant,tree;
22;Terrain;152,251,152;22;35;Terrain;35;Terrain;
23;sky;70,130,180;23;36;Sky;36;Sky;
24;person;220,20,60;24;56;person;56;person;
25;rider;255,0,0;25;58;Bicyclist;57,58,59;Motorcyclist,bicyclist,other_rider;
26;car;0,0,142;26;1;Car;1,182,181;Car,van,pickup_truck;
27;truck;0,0,70;27;4;truck;4;truck;
28;bus;0,60,100;28;3;Bus;3;Bus;
29;Caravan;0,0,90;29;6;caravan;;;
30;Trailer;0,0,110;30;7;trailer;;;
31;train;0,80,100;31;5;Train;5;Train;
32;motorcycle;0,0,230;32;8;motorcycle;8;motorcycle;
33;bicycle;119,11,32;33;2;bicycle;2;bicycle;
34;Licence plate;0,0,142;-1;0;ignore;;;
