dataset_label_id;dataset_class_name;universal_class_id;universal_class_name;note
0;unlabeled;0;ignore;
1;Ego vehicle;9;ego_vehicle;
2;Rectification border;0;ignore;TBD
3;Out of roi;0;Ignore;TBD
4;static;0;Ignore;
5;dynamic;0;Ignore;
6;ground;0;Ignore;
7;road;13;road;
8;sidewalk;14;sidewalk;
9;parking;15;parking;
10;rail_track;16;rail_track;
11;building;27;building;
12;wall;29;wall;
13;fence;28;fence;
14;guard_rail;32;guard_rail;
15;bridge;30;bridge;
16;tunnel;31;Tunnel;
17;pole;38;pole;
18;polegroup;39;utilitypole;
19;traffic_light;41;traffic_light;
20;traffic_sign;40;traffic_sign;
21;vegetation;34;vegetation;
22;terrain;35;terrain;
23;sky;36;sky;
24;person;56;person;
25;rider;57;Motorcyclist;TBD
26;car;1;car;
27;truck;4;truck;
28;bus;3;bus;
29;caravan;6;caravan;
30;trailer;7;trailer;
31;train;5;train;
32;motorcycle;8;motorcycle;
33;bicycle;2;bicycle;
34;license_plate;0;ignore;
