Category,ClassName,ColorCode
VRU,Animal,"64,128,64"
construction,Archway,"192,0,128"
Vehicle,Bicyclist,"0,128,192"
construction,Bridge,"0,128,64"
construction,Building,"128,0,0"
Vehicle,Car,"64,0,128"
Objects,CartLuggagePram,"64,0,192"
VRU,Child,"192,128,64"
Objects,Column_Pole,"192,192,128"
construction,Fence,"64,64,128"
Flat,LaneMkgsDriv,"128,0,192"
Flat,LaneMkgsNonDriv,"192,0,64"
Objects,Misc_Text,"128,128,64"
Vehicle,MotorcycleScooter,"192,0,192"
Vehicle,OtherMoving,"128,64,64"
Flat,ParkingBlock,"64,192,128"
VRU,Pedestrian,"64,64,0"
Flat,Road,"128,64,128"
Objects,RoadShoulder,"128,128,192"
Flat,Sidewalk,"0,0,192"
Objects,SignSymbol,"192,128,128"
Sky,Sky,"128,128,128"
Vehicle,SUVPickupTruck,"64,128,192"
Objects,TrafficCone,"0,0,64"
Objects,TrafficLight,"0,64,64"
Vehicle,Train,"192,64,128"
Nature,Tree,"128,128,0"
Vehicle,Truck_Bus,"192,128,192"
construction,Tunnel,"64,0,64"
Nature,VegetationMisc,"192,192,0"
void,Void,"0,0,0"
construction,Wall,"64,192,0"
