Category,ClassName,ColorCode
void,unlabeled,"0,0,0"
void,ego vehicle,"0,0,0"
void,rectification border,"0,0,0"
void,out of roi,"0,0,0"
void,static,"0,0,0"
void,dynamic,"111,74,0"
void,ground,"81,0,81"
flat,road,"128,64,128"
flat,sidewalk,"244,35,232"
flat,parking,"250,170,160"
flat,rail track,"230,150,140"
construction,building,"70,70,70"
construction,wall,"102,102,156"
construction,fence,"190,153,153"
construction,guard rail,"180,165,180"
construction,bridge,"150,100,100"
construction,tunnel,"150,120,90"
object,pole,"153,153,153"
object,polegroup,"153,153,153"
object,traffic light,"250,170,30"
object,traffic sign,"220,220,0"
nature,vegetation,"107,142,35"
nature,terrain,"152,251,152"
sky,sky,"70,130,180"
human,person,"220,20,60"
human,rider,"255,0,0"
vehicle,car,"0,0,142"
vehicle,truck,"0,0,70"
vehicle,bus,"0,60,100"
vehicle,caravan,"0,0,90"
vehicle,trailer,"0,0,110"
vehicle,train,"0,80,100"
vehicle,motorcycle,"0,0,230"
vehicle,bicycle,"119,11,32"
vehicle,license plate,"0,0,142"
