Category,ClassName,ColorCode
ignore,unlabeled,"0,0,0"
ignore,ambiguous,"111,74,0"
Sky,sky,"70,130,180"
flat,road,"128,64,128"
flat,sidewalk,"244,35,232"
flat,railtrack,"230,150,140"
background,terrain,"152,251,152"
background,tree,"87,182,35"
background,vegetation,"35,142,35"
background,building,"70,70,70"
background,infrastructure,"153,153,153"
background,fence,"190,153,153"
object,billboard,"150,20,20"
object,trafficlight,"250,170,30"
object,trafficsign,"220,220,0"
object,mobilebarrier,"180,180,100"
object,firehydrant,"173,153,153"
object,chair,"168,153,153"
object,trash,"81,0,21"
object,trashcan,"81,0,81"
human,person,"220,20,60"
animal,animal,"255,0,0"
vehicle,bicycle,"119,11,32"
vehicle,motorcycle,"0,0,230"
vehicle,car,"0,0,142"
vehicle,van,"0,80,100"
vehicle,bus,"0,60,100"
vehicle,truck,"0,0,70"
vehicle,trailer,"0,0,90"
vehicle,train,"0,80,100"
vehicle,plane,"0,100,100"
vehicle,boat,"50,0,90"
